Unnamed: 0,题目分类,题型,题干,选项,答案
101,专业题库,01单选题,依据变电安规，同一变电站内在几个电气连接部分上依次进行不停电的同一类型的工作，可以使用一张（    ）工作票。,A-第一种|B-第二种|C-带电作业|D-电力电缆,B
102,专业题库,01单选题,依据变电安规，需要变更工作班成员时，应经工作负责人同意，在对新的作业人员进行（    ）后，方可进行工作。,A-安规考试|B-安全知识培训|C-安全交底手续|D-口头允许,C
103,专业题库,01单选题,依据变电安规，直流保护装置、通道和控制系统的工作，需要将高压直流系统停用者应填用（    ）工作票。,A-二次工作安全措施|B-第二种|C-第一种|D-带电作业,C
104,专业题库,01单选题,依据变电安规，工作期间，若工作负责人必须长时间离开工作现场时，应由（    ）变更工作负责人，履行变更手续，并告知全体作业人员及工作许可人。原、现工作负责人应做好必要的交接。,A-原工作票签发人|B-工区领导|C-运维负责人|D-值班调控人员,A
105,专业题库,01单选题,依据变电安规，承发包工程中，工作票（    ）。,A-必须由设备运维单位签发|B-必须由承包单位签发|C-可实行“双签发”形式|D-必须由主管部门签发,C
106,专业题库,01单选题,依据变电安规，高压设备上工作需要全部停电或部分停电者应填用（    ）工作票。,A-第一种|B-第二种|C-事故紧急抢修单|D-带电作业,A
107,专业题库,01单选题,依据变电安规，现场勘察工作应由（    ）组织。,A-工作票签发人或工作负责人|B-工作票签发人或工作许可人|C-工作许可人或工作负责人|D-工作票签发人或专责监护人,A
108,专业题库,01单选题,依据变电安规，一张工作票上所列的检修设备应同时停、送电，开工前工作票内的全部安全措施应（    ）。,A-一次完成|B-分两次完成|C-根据工作需要分别完成|D-可间断完成,A
109,专业题库,01单选题,依据变电安规，换流变压器、直流场设备及阀厅设备需要将高压直流系统或直流滤波器停用者应填用（    ）工作票。,A-二次工作安全措施|B-第二种|C-第一种|D-带电作业,C
110,专业题库,01单选题,依据变电安规，检修及基建单位的（    ）应事先送有关设备运维管理单位、调度控制中心备案。,A-工作许可人名单|B-工作票签发人、工作负责人名单|C-专责监护人名单|D-工作班成员名单,B
111,专业题库,01单选题,依据变电安规，工作负责人、工作许可人任何一方不得擅自变更（    ），工作中如有特殊情况需要变更时，应先取得对方的同意并及时恢复。,A-组织措施|B-事故紧急处理措施|C-安全措施|D-检修方案,C
112,专业题库,01单选题,依据变电安规，工作票若至预定时间，一部分工作尚未完成，需继续工作而不妨碍送电者，在送电前，应按照（    ），办理新的工作票，布置好安全措施后，方可继续工作。,A-原工作票|B-送电后现场设备带电情况|C-工作票签发人要求|D-运维值班员要求,B
113,专业题库,01单选题,依据变电安规，工作票由（    ）签发，也可由经设备运维管理单位审核合格且经批准的检修及基建单位签发。,A-调控中心|B-设备检修单位|C-设备运维管理单位|D-安监部门,C
114,专业题库,01单选题,依据变电安规，工作许可人对工作票所列内容即使发生很小疑问，也应向（    ）询问清楚，必要时应要求作详细补充。,A-工作负责人|B-工作票签发人|C-运维负责人|D-工区领导,B
115,专业题库,01单选题,依据变电安规，转动中的发电机、同期调相机的励磁回路或高压电动机转子电阻回路上的工作应填用（    ）工作票。,A-二次工作安全措施|B-第一种|C-第二种|D-带电作业,C
116,专业题库,01单选题,依据变电安规，在原工作票的停电及安全措施范围内增加工作任务时，应由工作负责人征得工作票签发人和工作许可人同意，并在工作票上增填（    ）。,A-安全措施|B-工作地点|C-工作项目|D-工作时间,C
117,专业题库,01单选题,依据变电安规，若工作需要（如测量极性、回路导通实验、光纤回路检查等），而且现场设备允许时，可以准许工作班中有实际经验的一个人或几人同时在它室进行工作，但（    ）应在事前将有关安全注意事项予以详尽的告知。,A-专责监护人|B-工作许可人|C-工作票签发人|D-工作负责人,D
118,专业题库,01单选题,依据变电安规，间断后继续工作，若无（    ）带领，作业人员不得进入工作地点。,A-工作票签发人和专责监护人|B-工作负责人和专责监护人|C-工作负责人和工作许可人|D-工作票签发人和专责监护人,B
119,专业题库,01单选题,依据变电安规，用计算机生成或打印的工作票应使用统一的票面格式，由（    ）审核无误，手工或电子签名后方可执行。,A-工作许可人|B-工作负责人|C-工作票签发人|D-专责监护人,C
120,专业题库,01单选题,依据变电安规，变更工作负责人或增加工作任务，如（    ）无法当面办理，应通过电话联系，并在工作票登记薄和工作票上注明。,A-工作票签发人和工作许可人|B-工作票签发人或工作许可人|C-工作票签发人和专责监护人|D-工作票签发人或专责监护人,A
121,专业题库,01单选题,依据变电安规，持线路或电缆工作票进入变电站或发电厂升压站进行架空线路、电缆等工作，应（    ），由变电站或发电厂工作许可人许可，并留存。,A-重新办理工作票|B-增添工作票份数|C-向调控值班人员汇报|D-办理进站相关手续,B
122,专业题库,01单选题,依据变电安规，高压电力电缆需停电的工作，应填用（　　）工作票。,A-第一种|B-第二种|C-事故紧急抢修单|D-带电作业,A
123,专业题库,01单选题,依据变电安规，第二种工作票和带电作业工作票（    ）交给工作许可人。,A-可在工作许可后|B-需在工作前一日|C-可在进行工作的当天预先|D-需在现场安全措施布置的同时,C
124,专业题库,01单选题,依据变电安规，需要变更工作班成员时，应经（　　）同意，在对新的作业人员进行安全交底手续后，方可进行工作。,A-工作许可人|B-工作负责人|C-工作票签发人|D-专责监护人,B
125,专业题库,01单选题,依据变电安规，工作许可人在完成施工现场的安全措施后，还应会同（    ）到现场再次检查所做的安全措施，对具体的设备指明实际的隔离措施，证明检修设备却无电压。,A-工作负责人|B-工作票签发人|C-专责监护人|D-工作班成员,A
126,专业题库,01单选题,依据变电安规，高压电力电缆不需停电的工作，应填用（    ）工作票。,A-电力电缆第一种|B-第一种|C-第二种|D-带电作业,C
127,专业题库,01单选题,依据变电安规，换流阀冷却系统、阀厅空调系统、火灾报警系统及图像监视系统等工作，需要将高压直流系统停用者应填用（    ）工作票。,A-二次工作安全措施|B-第二种|C-第一种|D-带电作业,C
128,专业题库,01单选题,依据变电安规，工作票一份应保存在工作地点，由（    ）收执；另一份由工作许可人收执，按值移交。,A-工作票签发人|B-专责监护人|C-工作负责人|D-变电运维负责人,C
129,专业题库,01单选题,依据变电安规，检修工作结束以前，对设备进行加压试验后，工作班若需继续工作时，应（    ）。,A-重新履行工作许可手续|B-办理新的工作票|C-重新布置安全措施|D-重新对工作班组成员交待安全措施,A
130,专业题库,01单选题,依据变电安规，一张工作票中，（    ）不得互相兼任。,A-工作许可人与工作负责人|B-工作票签发人与工作许可人|C-工作票签发人与工作负责人 |D-工作票签发人、工作负责人（工作许可人）,A
131,专业题库,01单选题,依据变电安规，非特殊情况不得变更工作负责人，如确需变更工作负责人应由工作票签发人同意并通知（    ）。,A-值班调控人员|B-工作班成员|C-工作许可人|D-运维负责人,C
132,专业题库,01单选题,依据变电安规，承发包工程中，工作票可实行“双签发”形式。签发工作票时，双方（    ）在工作票上分别签名，各自承担本部分工作票签发人相应的安全责任。,A-工作票签发人|B-工作负责人|C-项目负责人|D-专责监护人,A
133,专业题库,01单选题,依据变电安规，变电站（发电厂）第二种工作票可采取电话许可方式，但应录音，并各自作好记录。采取电话许可的工作票，工作所需安全措施可由工作人员自行布置，工作结束后应汇报（    ）。,A-工作负责人|B-工作票签发人|C-工作许可人|D-监护人,C
